#Session	animalID	day	Detector
AbrolhosSiribaRound01Out19	601	1	25
AbrolhosSiribaRound01Out19	602	1	24
AbrolhosSiribaRound01Out19	602	3	24
AbrolhosSiribaRound01Out19	603	1	23
AbrolhosSiribaRound01Out19	603	4	23
AbrolhosSiribaRound01Out19	603	5	23
AbrolhosSiribaRound01Out19	604	1	22
AbrolhosSiribaRound01Out19	604	3	22
AbrolhosSiribaRound01Out19	604	5	22
AbrolhosSiribaRound01Out19	605	1	21
AbrolhosSiribaRound01Out19	605	4	21
AbrolhosSiribaRound01Out19	605	5	21
AbrolhosSiribaRound01Out19	606	1	16
AbrolhosSiribaRound01Out19	606	2	16
AbrolhosSiribaRound01Out19	606	5	16
AbrolhosSiribaRound01Out19	607	1	19
AbrolhosSiribaRound01Out19	607	3	18
AbrolhosSiribaRound01Out19	607	4	19
AbrolhosSiribaRound01Out19	623	4	19
AbrolhosSiribaRound01Out19	607	5	19
AbrolhosSiribaRound01Out19	608	1	20
AbrolhosSiribaRound01Out19	609	1	11
AbrolhosSiribaRound01Out19	609	4	11
AbrolhosSiribaRound01Out19	610	1	6
AbrolhosSiribaRound01Out19	610	2	6
AbrolhosSiribaRound01Out19	629	2	6
AbrolhosSiribaRound01Out19	610	3	6
AbrolhosSiribaRound01Out19	610	4	6
AbrolhosSiribaRound01Out19	643	4	6
AbrolhosSiribaRound01Out19	611	1	7
AbrolhosSiribaRound01Out19	611	4	7
AbrolhosSiribaRound01Out19	612	1	9
AbrolhosSiribaRound01Out19	614	1	10
AbrolhosSiribaRound01Out19	615	1	4
AbrolhosSiribaRound01Out19	615	3	4
AbrolhosSiribaRound01Out19	647	3	4
AbrolhosSiribaRound01Out19	615	5	4
AbrolhosSiribaRound01Out19	616	1	3
AbrolhosSiribaRound01Out19	617	2	25
AbrolhosSiribaRound01Out19	617	4	25
AbrolhosSiribaRound01Out19	618	2	24
AbrolhosSiribaRound01Out19	619	2	23
AbrolhosSiribaRound01Out19	620	2	22
AbrolhosSiribaRound01Out19	620	4	22
AbrolhosSiribaRound01Out19	621	2	21
AbrolhosSiribaRound01Out19	622	2	17
AbrolhosSiribaRound01Out19	622	5	17
AbrolhosSiribaRound01Out19	623	2	19
AbrolhosSiribaRound01Out19	624	2	20
AbrolhosSiribaRound01Out19	625	2	15
AbrolhosSiribaRound01Out19	625	4	15
AbrolhosSiribaRound01Out19	651	4	15
AbrolhosSiribaRound01Out19	625	5	15
AbrolhosSiribaRound01Out19	626	2	14
AbrolhosSiribaRound01Out19	626	5	14
AbrolhosSiribaRound01Out19	627	2	11
AbrolhosSiribaRound01Out19	627	5	7
AbrolhosSiribaRound01Out19	630	2	8
AbrolhosSiribaRound01Out19	631	2	9
AbrolhosSiribaRound01Out19	632	2	10
AbrolhosSiribaRound01Out19	633	2	3
AbrolhosSiribaRound01Out19	633	4	3
AbrolhosSiribaRound01Out19	634	2	2
AbrolhosSiribaRound01Out19	635	2	1
AbrolhosSiribaRound01Out19	636	3	25
AbrolhosSiribaRound01Out19	637	3	23
AbrolhosSiribaRound01Out19	637	5	18
AbrolhosSiribaRound01Out19	638	3	21
AbrolhosSiribaRound01Out19	639	3	16
AbrolhosSiribaRound01Out19	639	5	11
AbrolhosSiribaRound01Out19	640	3	20
AbrolhosSiribaRound01Out19	641	3	14
AbrolhosSiribaRound01Out19	642	3	12
AbrolhosSiribaRound01Out19	643	3	11
AbrolhosSiribaRound01Out19	643	5	2
AbrolhosSiribaRound01Out19	644	3	7
AbrolhosSiribaRound01Out19	645	3	10
AbrolhosSiribaRound01Out19	645	4	10
AbrolhosSiribaRound01Out19	646	3	5
AbrolhosSiribaRound01Out19	648	3	3
AbrolhosSiribaRound01Out19	648	4	8
AbrolhosSiribaRound01Out19	648	5	3
AbrolhosSiribaRound01Out19	649	3	2
AbrolhosSiribaRound01Out19	649	4	4
AbrolhosSiribaRound01Out19	650	4	24
AbrolhosSiribaRound01Out19	650	5	24
AbrolhosSiribaRound01Out19	652	4	14
AbrolhosSiribaRound01Out19	653	4	12
AbrolhosSiribaRound01Out19	654	4	9
AbrolhosSiribaRound01Out19	654	5	9
AbrolhosSiribaRound01Out19	655	4	5
AbrolhosSiribaRound01Out19	656	4	2
AbrolhosSiribaRound01Out19	657	4	1
AbrolhosSiribaRound01Out19	657	5	1
AbrolhosSiribaRound01Out19	658	5	10
AbrolhosSiribaRound01Out19	9990	5	6
AbrolhosSiribaRound01Out19	9991	5	6
AbrolhosSiribaRound01Out19	9992	5	12
AbrolhosSiribaRound01Out19	9993	5	13
AbrolhosSiribaRound01Out19	9994	5	25
