#session	animalID	day	Detector
AbrolhosStaBárbaraPtoFixoRound01Dez19	751	1	25
AbrolhosStaBárbaraPtoFixoRound01Dez19	751	3	25
AbrolhosStaBárbaraPtoFixoRound01Dez19	752	2	2
AbrolhosStaBárbaraPtoFixoRound01Dez19	753	2	6
AbrolhosStaBárbaraPtoFixoRound01Dez19	753	4	6
AbrolhosStaBárbaraPtoFixoRound01Dez19	753	5	6
AbrolhosStaBárbaraPtoFixoRound01Dez19	754	2	16
AbrolhosStaBárbaraPtoFixoRound01Dez19	754	4	16
AbrolhosStaBárbaraPtoFixoRound01Dez19	755	2	25
AbrolhosStaBárbaraPtoFixoRound01Dez19	756	3	1
AbrolhosStaBárbaraPtoFixoRound01Dez19	756	5	1
AbrolhosStaBárbaraPtoFixoRound01Dez19	757	3	6
AbrolhosStaBárbaraPtoFixoRound01Dez19	758	3	10
AbrolhosStaBárbaraPtoFixoRound01Dez19	759	3	16
AbrolhosStaBárbaraPtoFixoRound01Dez19	760	4	5
AbrolhosStaBárbaraPtoFixoRound01Dez19	761	5	5
AbrolhosStaBárbaraPtoFixoRound01Dez19	75X	4	25
AbrolhosStaBárbaraPtoFixoRound01Dez19	75X	5	25
