OBJECTID,Eradication ID,Common Name,Scientific Name,Type (Animal),Year of Introduction,Data Quality,Eradication Start Date,Eradication End Date,Status (Eradication),Type (Eradication),Primary Eradication Method,Secondary Eradication Method,Tertiary Eradication Method,Primary Baiting Method,Secondary Baiting Method,Primary Toxicant,Secondary Toxicant,Contact Name,Contact Organization,Organization_Website,Island Code,Island Name,Region,Country,Archipelago,Latitude,Longitude,Area (sq km),Human Population
27,37,Black Rat,Rattus rattus,Rodent,null,Satisfactory,null,1986,Successful,Whole Island,Toxicant,NA,NA,Bait Station,NA,Pindone,NA,Burbidge; A.A.,Department of Conservation and Land Management; Aus,null,464040,Middle Lacepede,Indian Ocean - East,Australia,Lacepede Islands,-16.85551662,122.1367045,0.745973157,None
53,3206,Black Rat,Rattus rattus,Rodent,null,Good,2016,2016,Successful,Whole Island,Toxicant,NA,NA,Bait Station,NA,Brodifacoum,NA,Robinson Sue,DIPWE Tasmania,https://dpipwe.tas.gov.au/,26007,Big Green,Pacific Ocean - South West,Australia,Tasmanian Islands (Furneaux Group),-40.18464237,147.9786118,1.227897227,10-Jan
119,140,Black Rat,Rattus rattus,Rodent,1918,Good,1983,1983,Successful,Whole Island,Toxicant,NA,NA,Bait Station,NA,Pindone,NA,Burbidge; A.A.,Department of Conservation and Land Management; Aus,null,331990,Double Islands North,Indian Ocean - East,Australia,Western Australia (Barrow Islands),-20.73768214,115.4949942,0.164900538,None
131,154,Black Rat,Rattus rattus,Rodent,null,Good,null,2005,Successful,Whole Island,Trapping,Toxicant,NA,Hand Broadcast,NA,Chlorophacinone,Bromadiolone,null,null,null,242063,Plane (Caleseragne),Mediterranean,France,Marseille Islands (Riou Archipelago),43.18782186,5.38582425,0.151753954,None
150,184,Black Rat,Rattus rattus,Rodent,1940,Good,1994,1997,Successful,Whole Island,Toxicant,Trapping,NA,Bait Station,Other,Brodifacoum,Bromethalin,Flint; Beth,US Fish and Wildlife Service,null,31194,Sand,Pacific Ocean - North East,United States,Hawaiian Islands (Midway Atoll),28.20777515,-177.378933,4.443869838,11 - 100
151,185,Black Rat,Rattus rattus,Rodent,1940,Satisfactory,1993,1994,Successful,Whole Island,Toxicant,Trapping,NA,Bait Station,Other,Brodifacoum,Bromethalin,Flint; Beth,US Fish and Wildlife Service,null,27090,Eastern,Pacific Ocean - North East,United States,Hawaiian Islands (Midway Atoll),28.20955113,-177.3314535,1.376023979,None
152,186,Black Rat,Rattus rattus,Rodent,null,Good,2002,2004,Successful,Whole Island,Toxicant,NA,NA,Bait Station,NA,Difenacoum,Bromadiolone,Bell; Biz,National Trust; RSPB; English Nature; Wildlife Management International Limited,null,242171,Lundy,Atlantic Ocean - North,United Kingdom,Bristol Channel,51.17794887,-4.66958038,4.315785295,11 - 100
154,188,Black Rat,Rattus rattus,Rodent,null,Poor,2002,2002,Successful,Whole Island,Toxicant,Trapping,NA,Bait Station,NA,Diphacinone,NA,null,null,null,400130,Mokolii,Pacific Ocean - North East,United States,Hawaiian Islands,21.50960099,-157.82944,0.019328324,None
156,190,Black Rat,Rattus rattus,Rodent,null,Good,1995,1995,Successful,Whole Island,Toxicant,NA,NA,Bait Station,Hand Broadcast,Brodifacoum,NA,Daltry; Jenny,Flora and Fauna International,null,386024,Great Bird,Caribbean,Antigua and Barbuda,Lesser Antilles (Antigua and Barbuda Islands),17.14556982,-61.72491686,0.080138756,None
157,191,Black Rat,Rattus rattus,Rodent,null,Good,2001,2001,Successful,Incursion Response,Toxicant,NA,NA,Bait Station,Hand Broadcast,Brodifacoum,NA,Daltry; Jenny,Flora and Fauna International,null,386024,Great Bird,Caribbean,Antigua and Barbuda,Lesser Antilles (Antigua and Barbuda Islands),17.14556982,-61.72491686,0.080138756,None
159,195,Black Rat,Rattus rattus,Rodent,null,Good,2005,2005,Successful,Whole Island,Toxicant,NA,NA,Aerial Broadcast,NA,Brodifacoum,NA,Broome; Keith,NZ Dept. of Conservation,null,26953,Motutapere,Pacific Ocean - South West,New Zealand,Coromandel Harbor,-36.77969089,175.429072,0.498060118,11 - 100
161,201,Black Rat,Rattus rattus,Rodent,null,Good,2005,2005,Successful,Whole Island,Toxicant,NA,NA,Bait Station,NA,Brodifacoum,NA,null,null,null,237607,Kasidis,Mediterranean,Greece,Lagofitonisia,39.10632273,24.09189981,0.002887697,None
162,202,Black Rat,Rattus rattus,Rodent,null,Satisfactory,2006,2006,Successful,Whole Island,Toxicant,NA,NA,Bait Station,NA,Brodifacoum,NA,null,null,null,243378,Kastronisia - 2,Mediterranean,Greece,Sporades Islands,39.2135604,23.4618503,0.010681126,None
164,205,Black Rat,Rattus rattus,Rodent,null,Good,2000,2002,Successful,Whole Island,Toxicant,NA,NA,Bait Station,NA,Cholecalciferol,NA,Samaniego; Araceli,Grupo de Ecologia y Conservacion de Islas,www.islas.org.mx,110000401,San Jorge Este,Pacific Ocean - North East,Mexico,Gulf of California,31.01793412,-113.2482091,0.009906497,None
171,214,Black Rat,Rattus rattus,Rodent,null,Satisfactory,2001,2001,Successful,Whole Island,Trapping,Toxicant,NA,Bait Station,NA,Bromadiolone,NA,Lorvelec; O.,Equipe Gestion des Populations Invasives; INRA; Station SCRIBE; Campus de Beaulieu,null,464225,Folaca,Mediterranean,France,Corsican Islands,41.54840143,9.31497223,0.016399811,None
187,229,Black Rat,Rattus rattus,Rodent,1800,Good,1997,1997,Successful,Whole Island,Toxicant,NA,NA,Aerial Broadcast,Hand Broadcast,Brodifacoum,NA,Dervaux; Antoine,Department of Conservation of Natural Heritage  French Southern and Antarctic Lands,null,457862,Saint-Paul,Indian Ocean - West,French Southern Territories,Amsterdam and St. Paul Islands,-38.72212156,77.52352343,8.571098926,None
189,231,Black Rat,Rattus rattus,Rodent,1400,Good,2000,2000,Successful,Whole Island,Trapping,Toxicant,NA,Bait Station,NA,Bromadiolone,NA,Lorvelec; O.,Equipe Gestion des Populations Invasives; INRA; Station SCRIBE; Campus de Beaulieu,null,236500,Lavezzu,Mediterranean,France,Lavezzi Archipelago,41.34056962,9.25586421,0.64713025,None
