#session	animalID	day	detector
fieldTrip3	3049	1	1
fieldTrip3	3039	1	6
fieldTrip3	3043	1	16
fieldTrip3	3028	1	18
fieldTrip3	3038	2	2
fieldTrip3	3048	2	13
fieldTrip3	3040	2	15
fieldTrip3	3045	2	16
fieldTrip3	3037	2	16
fieldTrip3	3039	3	3
fieldTrip3	3029	3	6
fieldTrip3	3034	3	10
fieldTrip3	3037	3	13
fieldTrip3	3028	3	14
fieldTrip3	3027	3	15
fieldTrip3	3050	3	17
fieldTrip3	3029	4	1
fieldTrip3	3035	4	7
fieldTrip3	3028	4	13
fieldTrip3	-3037	4	14
fieldTrip3	3030	4	18
fieldTrip3	3040	4	19
fieldTrip3	-3046	5	12
fieldTrip3	100	5	18
fieldTrip3	200	5	19
