#session	animalID	day	detector
fieldTrip1	365	1	3
fieldTrip1	367	1	5
fieldTrip1	370	1	8
fieldTrip1	361	1	11
fieldTrip1	374	1	17
fieldTrip1	362	1	18
fieldTrip1	375	1	19
fieldTrip1	OB1	1	20
fieldTrip1	363	2	1
fieldTrip1	372	2	2
fieldTrip1	367	2	4
fieldTrip1	356	2	5
fieldTrip1	364	2	11
fieldTrip1	362	2	12
fieldTrip1	354	2	18
fieldTrip1	372	3	1
fieldTrip1	363	3	2
fieldTrip1	365	3	3
fieldTrip1	305	3	6
fieldTrip1	369	3	11
fieldTrip1	310	3	13
fieldTrip1	364	3	16
fieldTrip1	303	3	18
fieldTrip1	354	3	19
fieldTrip1	365	4	3
fieldTrip1	304	4	8
fieldTrip1	354	4	17
fieldTrip1	307	4	18
fieldTrip1	310	4	19
fieldTrip1	372	5	1
fieldTrip1	367	5	5
fieldTrip1	305	5	11
fieldTrip1	F1	5	16
fieldTrip1	303	5	17
fieldTrip1	307	5	18
fieldTrip1	365	5	19
fieldTrip1	356	5	20
