#session	animalID	day	detector
fieldTrip2	355	1	7
fieldTrip2	368	1	3
fieldTrip2	371	1	3
fieldTrip2	373	1	8
fieldTrip2	357	2	17
fieldTrip2	358	2	9
fieldTrip2	371	2	11
fieldTrip2	7	3	12
fieldTrip2	301	3	11
fieldTrip2	302	3	10
fieldTrip2	306	3	7
fieldTrip2	309	3	9
fieldTrip2	353	3	2
fieldTrip2	371	3	3
fieldTrip2	10	4	4
fieldTrip2	15	4	3
fieldTrip2	36	4	18
fieldTrip2	44	4	2
fieldTrip2	371	4	7
fieldTrip2	373	4	8
fieldTrip2	2	5	2
fieldTrip2	3	5	5
fieldTrip2	4	5	9
fieldTrip2	5	5	12
fieldTrip2	6	5	15
fieldTrip2	44	5	1
fieldTrip2	355	5	7
