#session	animalID	day	detector
fieldTrip1	3020	1	1
fieldTrip1	3025	1	2
fieldTrip1	3024	1	3
fieldTrip1	3003	1	7
fieldTrip1	3001	1	9
fieldTrip1	3002	1	13
fieldTrip1	3023	1	14
fieldTrip1	3004	1	17
fieldTrip1	3021	1	19
fieldTrip1	3022	1	20
fieldTrip1	3010	2	1
fieldTrip1	3005	2	2
fieldTrip1	3017	2	3
fieldTrip1	3001	2	5
fieldTrip1	3016	2	6
fieldTrip1	3006	2	8
fieldTrip1	3003	2	9
fieldTrip1	3014	2	12
fieldTrip1	3023	2	14
fieldTrip1	3013	2	17
fieldTrip1	3004	2	18
fieldTrip1	3022	2	20
fieldTrip1	3012	3	1
fieldTrip1	3025	3	2
fieldTrip1	3007	3	3
fieldTrip1	3008	3	4
fieldTrip1	3009	3	9
fieldTrip1	3001	3	10
fieldTrip1	3011	3	11
fieldTrip1	3018	3	12
fieldTrip1	3019	3	14
fieldTrip1	3004	3	17
fieldTrip1	3026	3	19
fieldTrip1	3022	3	20
fieldTrip1	3017	4	4
fieldTrip1	3022	4	14
fieldTrip1	3042	4	15
fieldTrip1	3033	4	19
fieldTrip1	3047	5	3
fieldTrip1	3017	5	9
fieldTrip1	200	5	17
