#session	animalID	day	detector
fieldTrip1	101	1	1
fieldTrip1	102	1	7
fieldTrip1	103	1	5
fieldTrip1	104	1	15
fieldTrip1	105	1	20
fieldTrip1	106	1	14
fieldTrip1	107	1	17
fieldTrip1	108	2	2
fieldTrip1	109	2	4
fieldTrip1	110	2	8
fieldTrip1	111	2	12
fieldTrip1	112	2	15
fieldTrip1	113	2	14
fieldTrip1	114	2	13
fieldTrip1	115	2	17
fieldTrip1	124	2	18
fieldTrip1	125	2	20
fieldTrip1	112	3	18
fieldTrip1	116	3	1
fieldTrip1	117	3	2
fieldTrip1	118	3	11
fieldTrip1	119	3	6
fieldTrip1	120	3	5
fieldTrip1	121	3	8
fieldTrip1	122	3	4
fieldTrip1	123	3	3
fieldTrip1	125	3	20
fieldTrip1	126	3	12
fieldTrip1	128	3	14
fieldTrip1	129	3	13
fieldTrip1	130	3	17
fieldTrip1	106	4	17
fieldTrip1	112	4	18
fieldTrip1	131	4	3
fieldTrip1	132	4	1
fieldTrip1	133	4	4
fieldTrip1	134	4	6
fieldTrip1	135	4	5
fieldTrip1	136	4	12
fieldTrip1	137	4	14
fieldTrip1	149	4	13
fieldTrip1	150	4	2
fieldTrip1	109	6	9
fieldTrip1	111	6	15
fieldTrip1	112	6	13
fieldTrip1	118	6	12
fieldTrip1	124	6	17
fieldTrip1	133	6	3
fieldTrip1	135	6	7
fieldTrip1	138	6	8
fieldTrip1	139	6	6
fieldTrip1	140	6	5
fieldTrip1	143	6	14
fieldTrip1	108	7	17
fieldTrip1	109	7	9
fieldTrip1	111	7	15
fieldTrip1	118	7	12
fieldTrip1	120	7	11
fieldTrip1	146	7	2
fieldTrip1	147	7	4
fieldTrip1	150	7	5
fieldTrip1	174	7	19
fieldTrip1	176	7	6
fieldTrip1	177	7	18
fieldTrip1	102	8	7
fieldTrip1	112	8	14
fieldTrip1	124	8	17
fieldTrip1	136	8	1
fieldTrip1	178	8	8
fieldTrip1	179	8	11
fieldTrip1	181	8	13
fieldTrip1	108	9	14
fieldTrip1	111	9	8
fieldTrip1	123	9	3
fieldTrip1	125	9	17
fieldTrip1	177	9	13
fieldTrip1	200	9	6
fieldTrip1	108	10	15
fieldTrip1	109	10	5
fieldTrip1	118	10	13
fieldTrip1	124	10	17
fieldTrip1	129	10	12
fieldTrip1	133	10	8
fieldTrip1	149	10	14
fieldTrip1	178	10	4
fieldTrip1	182	10	1
fieldTrip1	198	10	6
fieldTrip1	199	10	7
fieldTrip1	108	11	17
fieldTrip1	110	11	15
fieldTrip1	122	11	12
fieldTrip1	175	11	11
fieldTrip1	197	11	14
fieldTrip1	122	12	12
fieldTrip1	125	12	18
fieldTrip1	133	12	3
fieldTrip1	135	12	16
fieldTrip1	151	12	2
fieldTrip1	152	12	17
fieldTrip1	199	12	6
fieldTrip1	177	13	17
